street,n_voters,requested,returned,outstanding,return_rate_pct,suppressed_lt_10
LINCOLN AVE,112,112,34,78,30.4,False
S CENTER ST,74,74,25,49,33.8,False
BERKELEY AVE,73,73,48,25,65.8,False
SCOTLAND RD,38,38,16,22,42.1,False
TREMONT AVE,37,37,15,22,40.5,False
VALLEY ST,31,31,14,17,45.2,False
HIGHLAND AVE,27,27,7,20,25.9,False
REYNOLDS TER,25,25,4,21,16.0,False
HEYWOOD AVE,23,23,10,13,43.5,False
FAIRVIEW AVE,16,16,10,6,62.5,False
FULLER TER,15,15,6,9,40.0,False
S JEFFERSON ST,15,15,8,7,53.3,False
ARGYLE AVE,12,12,4,8,33.3,False
STIRLING AVE,12,12,2,10,16.7,False
ELMWYND DR,11,11,2,9,18.2,False
TREMONT PL,10,10,5,5,50.0,False
SEVEN OAKS RD,9,9,,,,True
IRVING TER,8,8,,,,True
LAWNRIDGE RD,8,8,,,,True
MOSSWOOD AVE,8,8,,,,True
OGDEN ST,8,8,,,,True
STIRLING DR N,8,8,,,,True
HAXTON AVE,6,6,,,,True
CLAIRMONT TER,5,5,,,,True
FREEMAN ST,5,5,,,,True
OLCOTT ST,5,5,,,,True
TREMONT CT,5,5,,,,True
BEACH ST,5,5,,,,True
CHRISTOPHER ST,5,5,,,,True
BEECHWOOD TER,4,4,,,,True
CHESTNUT ST,4,4,,,,True
HILLSIDE AVE,4,4,,,,True
S HARRISON ST,2,2,,,,True
SEVEN OAKS CT,2,2,,,,True
STIRLING DR W,2,2,,,,True
SEVEN OAKS WAY,1,1,,,,True
AUSTIN RD,1,1,,,,True
BERKELEY RD,1,1,,,,True
FOREST ST,1,1,,,,True
